BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3299MA20429,2020/06/26,957518,164215,1,1,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,Cash,0,,1900-01-01,806076,NASHUA MPUMALANGA,T/A NASHUA MPUMALANGA,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,WARRANTY TRANSFER(+),NASHUA,FROM OWNER TSH TO SERVICER NET,NASHUA MPUMALANGA,Installation INC1130781,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,0,N,999,None,999_None,42,CLINT VAN WYK,113,FRANCHISE DEPT,,0,0,36,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Non-Stock Charges,WARRANTY,*,NON-STOCK CHARGES,WARRANTY,Warranty Transfer,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Credit Note,0,-1,-1,0,355.2,0.0,,0,0.0,0.0,15,-355.2,0.0,0.0,-53.28,-408.48,16:10.6
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3389PB02120,2020/06/12,955746,162357,1,7,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,Warranty,0,,2020-06-12,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,WARRANTY PAYOUT,DDREB,WARRANTY PAYOUT TO OWNER NET,FOR E-ORDER P/O# 053528,,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,955745,N,999,None,999_None,42,CLINT VAN WYK,113,FRANCHISE DEPT,DDREB,0,53528,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Non-Stock Charges,WARRANTY,*,NON-STOCK CHARGES,WARRANTY,WARRANTY PAYOUT,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Credit Note,0,-1,-1,0,235.41,0.0,,0,0.0,0.0,15,-235.41,0.0,0.0,-35.31,-270.72,16:10.6
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3389PB01959,2020/05/25,953528,160199,1,6,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,Warranty,0,,2020-05-25,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,WARRANTY PAYOUT,EDITHM,WARRANTY PAYOUT TO OWNER NET,FOR E-ORDER P/O# 053388,,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,953527,N,999,None,999_None,42,CLINT VAN WYK,113,FRANCHISE DEPT,EDITHM,0,53388,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Non-Stock Charges,WARRANTY,*,NON-STOCK CHARGES,WARRANTY,WARRANTY PAYOUT,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Credit Note,0,-1,-1,0,235.41,0.0,,0,0.0,0.0,15,-235.41,0.0,0.0,-35.31,-270.72,16:10.6
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3380P100569,2020/06/03,954615,161212,1,1,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,Cash,0,,1900-01-01,806076,NASHUA MPUMALANGA,T/A NASHUA MPUMALANGA,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,WARRANTY TRANSFER(-),NASHUA,FROM OWNER NET TO SERVICER DBN,NASHUA DURBAN,Installation INC1113901,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,153406,N,999,None,999_None,42,CLINT VAN WYK,113,FRANCHISE DEPT,,0,0,36,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Non-Stock Charges,WARRANTY,*,NON-STOCK CHARGES,WARRANTY,Warranty Transfer,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Debit Note,0,1,1,0,235.41,0.0,,0,0.0,0.0,15,235.41,0.0,0.0,35.31,270.72,16:10.6
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3380P100827,2020/06/10,955467,162053,1,1,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,Cash,0,,1900-01-01,806076,NASHUA MPUMALANGA,T/A NASHUA MPUMALANGA,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,WARRANTY TRANSFER(-),NASHUA,FROM OWNER NET TO SERVICER NRD,NASHUA EAST RAND,Installation INC1119733,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,154458,N,999,None,999_None,42,CLINT VAN WYK,113,FRANCHISE DEPT,,0,0,36,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Non-Stock Charges,WARRANTY,*,NON-STOCK CHARGES,WARRANTY,Warranty Transfer,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Debit Note,0,1,1,0,235.41,0.0,,0,0.0,0.0,15,235.41,0.0,0.0,35.31,270.72,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/08,955133,161705,1,3,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,e-Order,506841,Truck,2020-06-08,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,053490-01 DDREB NET,DDREB,NASHUA MPUMALANGA,ORDER TO BE COLLECTED,,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,42,CLINT VAN WYK,113,FRANCHISE DEPT,DDREB,0,53490,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIM350BLK,IM 350 BLACK PRINT CARTRIDGE,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,2,2,2,0,665.0,424.0,2.0,0,0.0,0.0,15,1330.0,0.0,0.0,199.5,1529.5,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,955568,162158,1,23,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,e-Order,507089,Truck,2020-06-10,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,053516-01 DDREB NET,DDREB,NASHUA MPUMALANGA,ORDER TO BE COLLECTED,,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,42,CLINT VAN WYK,113,FRANCHISE DEPT,DDREB,0,53516,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP3554BL,BLACK PRINT CARTRIDGE:MP3554SP,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,3,3,3,0,1444.0,931.0,3.0,0,0.0,0.0,15,4332.0,0.0,0.0,649.8,4981.8,16:10.6
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,955488,162076,1,22,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,e-Order,507050,Collect in Despatch,2020-06-10,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,053508-01 CORLENE NET,CORLENE,806076,Driver Will Collect,,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,42,CLINT VAN WYK,113,FRANCHISE DEPT,CORLENE,0,53508,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Parts,Laser,SL,SPARES - LASER,M9060136,PCU:CLICK:3:SERV:EXP(M9060130),L,LASER PARTS (PRINTER),AA,PCU,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,2482.54,1677.39,1.0,0,0.0,0.0,15,2482.54,0.0,0.0,372.38,2854.92,16:10.6
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/18,956267,162850,1,10,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,e-Order,507497,Collect in Despatch,2020-06-18,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,053564-01 CLAUDIAB NET,CLAUDIAB,806076,Driver will collect,,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,42,CLINT VAN WYK,113,FRANCHISE DEPT,CLAUDIAB,0,53564,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Parts,Copiers,SCD,SPARES COPIER DRUMS,B0449510F,OPC DRUM AF1013/1515MFP,C,COPIER PARTS,AA,OPC,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,871.42,598.5,1.0,0,0.0,0.0,15,871.42,0.0,0.0,130.71,1002.13,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,NET,NASHUA MPUMALANGA,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/17,956213,162798,1,2,,806076,806076,TRENDITRADE 21 PTY LTD,T/A NASHUA MPUMALANGA,TRENDITRADE 21 PTY LTD,P O BOX 1405,,MIDDELBURG MPUMALANGA,1050,e-Order,507467,Truck,2020-06-17,806076,NASHUA MPUMALANGA,,NASHUA HOUSE,8,DOLERITE AVE AERORAND,MIDDELBURG MPUMALANGA,053558-01 DDREB NET,DDREB,NASHUA MPUMALANGA,ORDER TO BE COLLECTED BY DRIVE,R,NET,NASHUA MPUMALANGA,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,42,CLINT VAN WYK,113,FRANCHISE DEPT,DDREB,0,53558,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIM550BLK,PRINTER CARTRIDGE IM550F BLACK,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,2130.0,1725.0,1.0,0,0.0,0.0,15,2130.0,0.0,0.0,319.5,2449.5,16:10.6
