LineOfBusiness,BudgetGroup,BudgetLine,D1,D2,D3,D4,D5,D6,D7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate
Business Infrastructure,Consumables,Colour,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Colour                        ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-31 00:00:00.000,902488,112184,1,14,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478296,Truck,2019-05-31 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025437-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25437,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC2551CY,CYAN CART: MPC2551/2051,ZCC,Copier chem/cons,,TCC,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,2,2,2,0,1931.0,1552.0,2.0,0,0,0.0,15,3862.0,0.0,0.0,579.3,4441.3,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,Laser Cartridge               ,Mono                          ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-31 00:00:00.000,902488,112184,1,36,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478296,Truck,2019-05-31 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025437-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25437,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNL,CONSUMABLE TONER NASHUA LASER,TONSP4100NEW,BLK TONER TYPE SP 4100,ZLC,LASER CHEMICALS-NASHUA,A,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,4872.0,3215.0,1.0,0,0,0.0,15,4872.0,0.0,0.0,730.8,5602.8,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Developer                     ,,,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-06-07 00:00:00.000,903466,113144,1,28,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478901,Truck,2019-06-07 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025492-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25492,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Parts,Developer,YDNR,CONS SPARES DEVELOPER RICOH,D1589640,DEVELOPER,C,COPIER PARTS,AB,DEV,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,3,3,3,0,724.03,488.88,3.0,0,0,0.0,15,2172.09,0.0,0.0,325.81,2497.9,2019-07-09 05:56:07.560
Business Infrastructure,Parts,Parts,Business Infrastructure       ,Annuity                       ,Part                          ,,,,,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-06-13 00:00:00.000,904407,113925,1,5,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,479564,Truck,2019-06-13 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025532-01 JUANITAMO TYG,JUANITAMO,,Please deliver to Nashua TYG v,ia DSV acc 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JUANITAMO,0,25532,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,AF032030,REVERSE ROLLER AF1013,C,COPIER PARTS,AC,,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,340.73,230.07,1.0,0,0,0.0,15,340.73,0.0,0.0,51.11,391.84,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-29 00:00:00.000,902049,111799,1,3,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478000,Truck,2019-05-29 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025402-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA WINEL,ANDS VIA DSV  - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25402,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,ZCC,Copier chem/cons,,TON,,Y,Sold,Required,,0.0,BCON,B&W Consumables,Ship & Invoice,5,5,5,0,436.0,293.0,5.0,0,0,0.0,15,2180.0,0.0,0.0,327.0,2507.0,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-29 00:00:00.000,902121,111863,1,3,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478051,Truck,2019-05-29 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025416-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA NOORD,WESTE VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25416,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,ZCC,Copier chem/cons,,TON,,Y,Sold,Required,,0.0,BCON,B&W Consumables,Ship & Invoice,5,5,5,0,436.0,293.0,5.0,0,0,0.0,15,2180.0,0.0,0.0,327.0,2507.0,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-29 00:00:00.000,902127,111870,1,3,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478055,Truck,2019-05-29 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025418-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA LOWVE,LD VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25418,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,ZCC,Copier chem/cons,,TON,,Y,Sold,Required,,0.0,BCON,B&W Consumables,Ship & Invoice,5,5,5,0,436.0,293.0,5.0,0,0,0.0,15,2180.0,0.0,0.0,327.0,2507.0,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Colour,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Colour                        ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-31 00:00:00.000,902488,112184,1,15,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478296,Truck,2019-05-31 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025437-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25437,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC2551MA,MAGENTA CART: MPC2551/2051,ZCC,Copier chem/cons,,TCM,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,2,2,2,0,1931.0,1552.0,2.0,0,0,0.0,15,3862.0,0.0,0.0,579.3,4441.3,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-31 00:00:00.000,902488,112184,1,28,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,478296,Truck,2019-05-31 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025437-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25437,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP2501E,BLACK TONER MP 2501E,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,20,20,20,0,365.0,244.0,20.0,0,0,0.0,15,7300.0,0.0,0.0,1095.0,8395.0,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-06-10 00:00:00.000,903765,113403,1,32,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,479088,Truck,2019-06-10 00:00:00.000,820526,NASHUA TYGERBERG,,2ND FLOOR,2020-06-08 00:00:00,HIGH STREET ROSENPARK,PLATTEKLOOF,025505-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,JOYW,0,25505,0,,F01,LERATO NKETLE 011 232 8064,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP3554BL,BLACK PRINT CARTRIDGE:MP3554SP,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,10,10,10,0,1218.0,786.0,10.0,0,0,0.0,15,12180.0,0.0,0.0,1827.0,14007.0,2019-07-09 05:56:07.560
