BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/25,957380,163941,1,4,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,508068,Truck,2020/06/25,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,028053-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,28053,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIM2702B,TONER MP 2014H BLACK,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,2,2,2,0,670.0,447.0,2.0,0,0.0,0.0,15,1340.0,0.0,0.0,201.0,1541.0,16:10.6
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/08,955142,161632,1,1,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,506848,Truck,2020/06/08,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027944-01 GLENDAJA TYG,GLENDAJA,,PLEASE DELIVER TO NASHUA TYG -,VIA DSV - OUR ACC: 27445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,ELMARIEV,0,27944,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,D1272110,PCDU,C,COPIER PARTS,AA,PRT,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,2708.4,1830.0,1.0,0,0.0,0.0,15,2708.4,0.0,0.0,406.26,3114.66,16:10.6
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA BREEDEVALLEI,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,284343,134347,1,1,,300094,300094,JUST JASMINE INVESTMENTS 201,(PTY) LTD T/A NASHUA TYGERBERG,JUST JASMINE INVESTMENTS 201,2 FLOOR NASHUA HOUSE,6-8 HIGH STREET ROSENPARK,TYGERVALLEY,7536,Installation Commission,0,Not Applicable,1900/01/01,300094,NASHUA TYGERBERG,(PTY) LTD T/A NASHUA TYGERBERG,2 FL NASHUA HSE,08-Jun,HIGH STR ROSENPARK,TYGERVALLEY,INSTALLATION COMMISSION,WORPROCESS,INSTALLATION COMMISSION,MONTH-END DATE 2020/06/30,,TYG,NASHUA TYGERBERG,FRA,FRANCHISE,0,,0,N,999,None,999_None,350,DSR TO RECEIVE,300,SERVICE,WORPROCESS,0,0,0,,FRA,AHSEHA GALLIE,1,EA,,N,0.0,,0,,Non-Stock Charges,INSTCOMM,*,CHARGES - INVOICE ONLY,INSTCOMM,INSTALLATION COMMISSION,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,208.75,0.0,,0,0.0,0.0,15,208.75,0.0,0.0,31.31,240.06,29:20.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,955455,162038,1,1,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order(Emergency),507035,Truck,2020/06/10,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027964-01 JOYW TYG,JOYW,+EMERGENCY+,PLS SEND OVERNIGHT TO NASHUA T,YGERBERG VIA DSV A/C 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27964,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIMC2500B,IM C2500 BLACK,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,2,2,2,0,935.0,739.0,2.0,0,0.0,0.0,15,1870.0,0.0,0.0,280.5,2150.5,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,955569,162114,1,8,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,507090,Truck,2020/06/10,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027968-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27968,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIMC3500B,IM C3500 BLACK,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,2,2,2,0,1637.0,1169.0,2.0,0,0.0,0.0,15,3274.0,0.0,0.0,491.1,3765.1,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/18,956416,162450,1,5,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,507573,Truck,2020/06/18,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027992-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27992,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,T6210D,TYPE 6210D TON MP7/8/9001/9002,ZCC,Copier chem/cons,,TON,,Y,Sold,Required,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,1665.0,995.0,1.0,0,0.0,0.0,15,1665.0,0.0,0.0,249.75,1914.75,16:10.6
Business Infrastructure,Consumables,Colour,Business Infrastructure,Annuity,Consumable,Other,Toner,,Colour,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,955569,162114,1,14,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,507090,Truck,2020/06/10,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027968-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27968,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC2503Y,YELLOW PRINT CART:MPC2503,ZCC,Copier chem/cons,,TCY,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,3,3,3,0,1655.0,1323.0,3.0,0,0.0,0.0,15,4965.0,0.0,0.0,744.75,5709.75,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/10,955569,162114,1,19,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,507090,Truck,2020/06/10,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027968-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27968,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,8,8,8,0,517.0,347.0,8.0,0,0.0,0.0,15,4136.0,0.0,0.0,620.4,4756.4,16:10.6
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/03,954708,161251,1,5,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order,506571,Truck,2020/06/03,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027926-01 JOYW TYG,JOYW,,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27926,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIM2702B,TONER MP 2014H BLACK,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,670.0,447.0,1.0,0,0.0,0.0,15,670.0,0.0,0.0,100.5,770.5,16:10.6
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,,,,Purchase - NASHUA (PTY) LTD,TYG,NASHUA TYGERBERG,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/05/29,954337,160944,1,1,,820526,820526,JUST JASMINE INVESTMNT(PTY)LTD,T/A NASHUA TYGERBERG,JUST JASMINE INVESTMNT(PTY)LTD,P O BOX 6238,,TYGERVALLEY,7536,e-Order(Emergency),506372,Truck,2020/05/29,820526,NASHUA TYGERBERG,,2ND FLOOR,08-Jun,HIGH STREET ROSENPARK,PLATTEKLOOF,027903-01 JOYW TYG,JOYW,+EMERGENCY+,PLEASE DELIVER TO NASHUA TYGER,BERG VIA DSV - ACC NO. 027445,TYG,NASHUA TYGERBERG,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,100,LLOYD WALKER,113,FRANCHISE DEPT,CRAIGB,0,27903,0,,F01,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Priport,ZVNI,CONS PRIPORT NAS PP INK,PIDX2330BLS,BLK INK DX2330/2430 MODEL TT3,ZPC,Priport consumables,,TON,,Y,Sold,Blank,,0.0,PRIP,Priports,Ship & Invoice,2,2,2,0,169.0,110.0,2.0,0,0.0,0.0,15,338.0,0.0,0.0,50.7,388.7,16:10.6
