LineOfBusiness,BudgetGroup,BudgetLine,D1,D2,D3,D4,D5,D6,D7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,3,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Priport,ZVNM,CONS PRIPORT NAS PP MASTERS,MASTDX2330,A4 MASTER TYPE TT3 DX2330/2430,ZPC,Priport consumables,A,M/R,,Y,Sold,Blank,,0.0,PRIP,Priports,Ship & Invoice,12,12,12,0,261.0,202.0,12.0,0,0,0.0,15,3132.0,0.0,0.0,469.8,3601.8,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,23,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,24,24,24,0,436.0,293.0,24.0,0,0,0.0,15,10464.0,0.0,0.0,1569.6,12033.6,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Priport,ZVNM,CONS PRIPORT NAS PP MASTERS,MASTDD3324,A4 MASTER CPMT12 FOR DD3324,ZPC,Priport consumables,,M/R,,Y,Sold,Blank,,0.0,PRIP,Priports,Ship & Invoice,4,4,4,0,631.0,457.0,4.0,0,0,0.0,15,2524.0,0.0,0.0,378.6,2902.6,2019-07-09 05:56:07.560
Business Infrastructure,Parts,Parts,Business Infrastructure       ,Annuity                       ,Part                          ,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-06-10 00:00:00.000,903771,111997,2,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order(Emergency),479090,By Courier,2019-06-10 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007250-01 SIFISOR UPP,SIFISOR,+EMERGENCY+,GERALDINE SMITH,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,NASHUA,0,7250,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,D0192823,BUSHING:DRIVEN ROLLER MP2550,C,COPIER PARTS,BC,PRT,RICOCO,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,2,2,2,0,50.79,32.77,2.0,0,0,0.0,15,101.58,0.0,0.0,15.24,116.82,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,24,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP3554BL,BLACK PRINT CARTRIDGE:MP3554SP,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,3,3,3,0,1218.0,786.0,3.0,0,0,0.0,15,3654.0,0.0,0.0,548.1,4202.1,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Colour,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Colour                        ,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,18,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC305YL,YELLOW PRINT CART: MPC305SPF,ZCC,Copier chem/cons,99,TCY,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,1,1,1,0,994.0,668.0,1.0,0,0,0.0,15,994.0,0.0,0.0,149.1,1143.1,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Priport,ZVNM,CONS PRIPORT NAS PP MASTERS,MASTBDD3324,B4 MASTER CPMT15 FOR DD3324,PPT,Priport,,M/R,,Y,Sold,Blank,,0.0,PRIP,Priports,Ship & Invoice,4,4,4,0,694.0,503.0,4.0,0,0,0.0,15,2776.0,0.0,0.0,416.4,3192.4,2019-07-09 05:56:07.560
Business Infrastructure,Parts,Parts,Business Infrastructure       ,Annuity                       ,Part                          ,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-06-07 00:00:00.000,903506,113188,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,478924,Truck,2019-06-07 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007287-01 SIFISOR UPP,SIFISOR,NASHUA UPINGTON,GERALDINE SMITH,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,SIFISOR,0,7287,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,C2672802,ROLLER:P/FEED:ASS DX3240,C,COPIER PARTS,AC,,RICOCO,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,871.48,588.44,1.0,0,0,0.0,15,871.48,0.0,0.0,130.72,1002.2,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Colour,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Colour                        ,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,12,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC2503M,MAGENTA PRINT CART:MPC2503,ZCC,Copier chem/cons,,TCM,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,1,1,1,0,1431.0,1116.0,1.0,0,0,0.0,15,1431.0,0.0,0.0,214.65,1645.65,2019-07-09 05:56:07.560
Business Infrastructure,Consumables,Mono,Business Infrastructure       ,Annuity                       ,Consumable                    ,Other                         ,Toner                         ,,Mono                          ,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2019,P09-Jun,2019,6,2019-06-01 00:00:00.000,2019-05-25 00:00:00.000,2019-06-21 23:59:59.000,,2019-05-27 00:00:00.000,901648,111433,1,15,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,477717,Truck,2019-05-27 00:00:00.000,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007232-01 ALIDA UPP,ALIDA,,truck to collect,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7232,0,,F03,ELMARIE PRETORIUS 011 232 8066,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC305BL,BLACK PRINT CART: MPC305SPF,ZCC,Copier chem/cons,99,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,798.0,536.0,1.0,0,0,0.0,15,798.0,0.0,0.0,119.7,917.7,2019-07-09 05:56:07.560
