BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate,ShipDateDay
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E07908095,2020/06/09,955376,161973,1,3,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007983-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,140140,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2025FWDI4,IP 2MP BULLET IR 30M-4MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1604.98,1337.48,1.0,0,0.0,0.0,15,1604.98,0.0,0.0,240.75,1845.73,16:10.6,1
,,,Franchise Fees,Franchise Fees,Franchise Fees,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/26,957959,164554,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,Customer Billing,0,Not Applicable,1900-01-01,820714,NASHUA UPINGTON,T/A NASHUA UPINGTON,,12,GROOTE SCHUURE AVENUE,UPINGTON,ACTUAL FRANCHISE FEES,NASHUA,# CBC0011784,CONT TYPE : FRANCHISE,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,N,999,None,999_None,12,FRANCHISE ADMIN,113,FRANCHISE DEPT,,0,0,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,FranchiseFee,FRANFEES,*,NON-STOCK CHARGES,FRANFEES,ACTUAL FFEE FOR MAY 2020,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,24527.64,0.0,,0,0.0,0.0,15,24527.64,0.0,0.0,3679.15,28206.79,16:10.6,1
Business Infrastructure,Consumables,HP Contractual,Business Infrastructure,Annuity,Consumable,HP,Toner,Ink Cartridge,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/09,955360,161956,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007988-01 ALIDA UPP,NASHUA,marli,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,406,DRIVE CONTROL,406_DRIVE CONTROL,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,NASHUA,0,140160,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTHI,CONSUMABLES HP INKJET PRINTER,L0S07AE,973X BLK PAGEWIDE CARTRIDGE,HPC,HP Consumables Contractual,,INK,,Y,Sold,Blank,,0.0,CONHPBT,Cons.HP Black Toner,Manual Invoice,6,6,6,0,1503.49,1416.8,6.0,0,0.0,0.0,15,9020.94,0.0,0.0,1353.14,10374.08,16:10.6,1
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,955589,162178,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order(Emergency),507107,By Courier,2020-06-11,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007991-01 PWVAN UPP,PWVAN,#NAME?,Nashua Upington,DSV TO DELIVER,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,PWVAN,0,7991,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,D1273020,TONER SUPPLY UNIT,C,COPIER PARTS,BB,,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,2,2,2,0,991.72,639.82,2.0,0,0.0,0.0,15,1983.44,0.0,0.0,297.52,2280.96,16:10.6,11
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/05/25,953578,160252,1,10,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,505972,Truck,2020-05-25,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007943-01 ALIDA UPP,ALIDA,TRUCK TO COLLECT,,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7943,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,ZCC,Copier chem/cons,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,12,12,12,0,490.0,347.0,12.0,0,0.0,0.0,15,5880.0,0.0,0.0,882.0,6762.0,16:10.6,25
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA NORTH EAST,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,911098,789615,1,1,,631485,631485,SOLUTIONS PRO PTY LTD,ATT : ANINE,SOLUTIONS PRO PTY LTD,P O BOX 2473,ATT ANINE STEENKAMP,UPINGTON,8800,Incl Cons Sale,0,Not Applicable,1900-01-01,631485,NASHUA UPINGTON,ATT : ANINE,,28,KORT STREET,UPINGTON,2020 06 INCLUSIVE SALES,EASPROCESS,CONSUMABLES EXCL FROM DSR,SUPPLIED BY NE,,UPP,NASHUA UPINGTON,FRA,FRANCHISE,0,,0,N,999,None,999_None,305,TECHNICAL SOLUTIONS,305,SERVICE,EASPROCESS,0,0,0,,FRA,ANIEL ASMAN,300,EA,,N,0.0,,0,,Non-Stock Charges,INCLCONS,*,CHARGES,INCLCONS,Inclusive Consumables,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Invoice Only,0,1,1,0,1444.0,0.0,,0,0.0,0.0,15,1444.0,0.0,0.0,216.6,1660.6,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3389PB00962,2020/06/01,954391,161012,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,Warranty,0,,2020-06-01,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,WARRANTY PAYOUT,ALIDA,WARRANTY PAYOUT TO OWNER UPP,FOR E-ORDER P/O# 007962,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,954390,N,999,None,999_None,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7962,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Non-Stock Charges,WARRANTY,*,NON-STOCK CHARGES,WARRANTY,WARRANTY PAYOUT,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Credit Note,0,-1,-1,0,235.41,0.0,,0,0.0,0.0,15,-235.41,0.0,0.0,-35.31,-270.72,16:10.6,1
,,,Non-Core,Annuity,Consumable,Other,Office Products,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,955598,162189,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007956-01 ALIDA UPP,CONNIEM,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,411,IQTECH,411_IQTECH,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,CONNIEM,0,139838,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Other,ZANX,CONSOFFICE PRODUCTS NASHUA ALL,IQTHS-5L,1LTR BOTTL HAN SAN 70% ALCOH,ZOP,Office Products,,PPE,,Y,Sold,Blank,,0.0,CONS,Consumables,Manual Invoice,10,10,10,0,256.2,244.0,10.0,0,0.0,0.0,15,2562.0,0.0,0.0,384.3,2946.3,16:10.6,1
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/08,955091,161668,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order(Emergency),506802,By Courier,2020-06-08,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007982-01 PWVAN UPP,PWVAN,#NAME?,Nashua Upington,DSV TO DELIVER,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,PWVAN,0,7982,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,M1604029,FUSING UNIT COMP:AS(M1604028,C,COPIER PARTS,AE,FUS,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,3904.15,2637.94,1.0,0,0.0,0.0,15,3904.15,0.0,0.0,585.62,4489.77,16:10.6,8
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,D46034272,2020/06/02,954493,161090,1,4,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007961-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139906,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2025FWDI2.8,IP 2MP BULLT IR 30M 2.8MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1275.96,1063.3,1.0,0,0.0,0.0,15,1275.96,0.0,0.0,191.39,1467.35,16:10.6,1
